"","Reporting_Year...Année","NPRI_ID...No_INRP","Facility_Name...Installation","Company_Name...Dénomination_sociale_de_l.entreprise","NAICS...Code_SCIAN","Province...Province","CAS_Number...No_CAS","Substance.Name..English....Nom.de.substance..Anglais.","Substance.Name..French....Nom.de.substance..Français.","Group..English....Groupe..Anglais.","Group..French....Groupe..Français.","Category..English....Catégorie..Anglais.","Category..French....Catégorie..Français.","Quantity...Quantité","Units...Unités","Estimation_Method...Méthode_d.estimation"
"11",2014,929,"USINE DE GATINEAU","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",11.512,"kg","E2"
"12",2014,929,"USINE DE GATINEAU","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 06","Copper (and its compounds)","Cuivre (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.042,"tonnes","M3"
"13",2014,929,"USINE DE GATINEAU","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 02","Arsenic (and its compounds)","Arsenic (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",13.373,"kg","E2"
"14",2014,929,"USINE DE GATINEAU","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 19","Hexavalent chromium (and its compounds)","Chrome hexavalent (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",8.95,"kg","E2"
"15",2014,929,"USINE DE GATINEAU","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 10","Mercury (and its compounds)","Mercure (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",1.111,"kg","E2"
"16",2014,929,"USINE DE GATINEAU","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",15.156,"tonnes","E2"
"17",2014,929,"USINE DE GATINEAU","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",14.984,"tonnes","E2"
"18",2014,929,"USINE DE GATINEAU","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",7.383,"tonnes","E2"
"19",2014,929,"USINE DE GATINEAU","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 14","Zinc (and its compounds)","Zinc (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.428,"tonnes","M3"
"20",2014,929,"USINE DE GATINEAU","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",34.546,"kg","M3"
"21",2014,979,"USINE KÉNOGAMI","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",3.73,"kg","E2"
"22",2014,979,"USINE KÉNOGAMI","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",4.8506,"tonnes","E2"
"23",2014,979,"USINE KÉNOGAMI","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",12.7968,"tonnes","M3"
"24",2014,979,"USINE KÉNOGAMI","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",7.8944,"tonnes","M3"
"25",2014,983,"DIVISION ALMA","PRODUITS FORESTIERS RÉSOLU",322111,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",2.477,"tonnes","E2"
"26",2014,983,"DIVISION ALMA","PRODUITS FORESTIERS RÉSOLU",322111,"QC","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",23.096,"tonnes","E2"
"27",2014,983,"DIVISION ALMA","PRODUITS FORESTIERS RÉSOLU",322111,"QC","NA - 10","Mercury (and its compounds)","Mercure (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",1.205,"kg","E2"
"28",2014,983,"DIVISION ALMA","PRODUITS FORESTIERS RÉSOLU",322111,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",21.09,"kg","E2"
"29",2014,983,"DIVISION ALMA","PRODUITS FORESTIERS RÉSOLU",322111,"QC","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",10.5,"kg","E2"
"30",2014,983,"DIVISION ALMA","PRODUITS FORESTIERS RÉSOLU",322111,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",198.601,"tonnes","E2"
"31",2014,983,"DIVISION ALMA","PRODUITS FORESTIERS RÉSOLU",322111,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.012,"tonnes","E2"
"32",2014,1195,"DOMTAR USINE DE WINDSOR","DOMTAR INC.",322121,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",16.29,"tonnes","M3"
"33",2014,1195,"DOMTAR USINE DE WINDSOR","DOMTAR INC.",322121,"QC","7783-06-04","Hydrogen sulphide","Sulfure d'hydrogène","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",5.78,"tonnes","E2"
"34",2014,1195,"DOMTAR USINE DE WINDSOR","DOMTAR INC.",322121,"QC","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",20.2,"kg","E2"
"35",2014,1195,"DOMTAR USINE DE WINDSOR","DOMTAR INC.",322121,"QC","NA - 14","Zinc (and its compounds)","Zinc (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",2.76,"tonnes","M3"
"36",2014,1195,"DOMTAR USINE DE WINDSOR","DOMTAR INC.",322121,"QC","67-56-1","Methanol","Méthanol","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",5.82,"tonnes","E2"
"37",2014,1195,"DOMTAR USINE DE WINDSOR","DOMTAR INC.",322121,"QC","NA - 10","Mercury (and its compounds)","Mercure (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",1.17,"kg","M3"
"38",2014,1195,"DOMTAR USINE DE WINDSOR","DOMTAR INC.",322121,"QC","50-00-0","Formaldehyde","Formaldéhyde","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",6.52,"tonnes","E2"
"39",2014,1195,"DOMTAR USINE DE WINDSOR","DOMTAR INC.",322121,"QC","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",33.78,"tonnes","E2"
"40",2014,1195,"DOMTAR USINE DE WINDSOR","DOMTAR INC.",322121,"QC","NA - 02","Arsenic (and its compounds)","Arsenic (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",28.42,"kg","E2"
"41",2014,1195,"DOMTAR USINE DE WINDSOR","DOMTAR INC.",322121,"QC","107-21-1","Ethylene glycol","Éthylèneglycol","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",7.87,"tonnes","M3"
"42",2014,1195,"DOMTAR USINE DE WINDSOR","DOMTAR INC.",322121,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",207.14,"kg","M3"
"43",2014,1195,"DOMTAR USINE DE WINDSOR","DOMTAR INC.",322121,"QC","108-95-2","Phenol (and its salts)","Phénol (et ses sels)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.02,"tonnes","M3"
"44",2014,1195,"DOMTAR USINE DE WINDSOR","DOMTAR INC.",322121,"QC","NA - 19","Hexavalent chromium (and its compounds)","Chrome hexavalent (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",20.71,"kg","E2"
"45",2014,1195,"DOMTAR USINE DE WINDSOR","DOMTAR INC.",322121,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",37.74,"tonnes","E2"
"46",2014,1492,"USINE DE BÉCANCOUR","ARKEMA CANADA INC.",325189,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",1.533,"tonnes","M3"
"47",2014,1525,"SOCIÉTÉ EN COMMANDITE PAPIER MASSON WB","SOCIÉTÉ EN COMMANDITE PAPIER MASSON WB",322122,"QC","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",4.83,"tonnes","M3"
"48",2014,1525,"SOCIÉTÉ EN COMMANDITE PAPIER MASSON WB","SOCIÉTÉ EN COMMANDITE PAPIER MASSON WB",322122,"QC","67-56-1","Methanol","Méthanol","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.02,"tonnes","E2"
"49",2014,1525,"SOCIÉTÉ EN COMMANDITE PAPIER MASSON WB","SOCIÉTÉ EN COMMANDITE PAPIER MASSON WB",322122,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",2.62,"tonnes","M3"
"50",2014,1528,"USINE DE THURSO","FORTRESS CELLULOSE SPÉCIALISÉE",322112,"QC","67-66-3","Chloroform","Chloroforme","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.013,"tonnes","E2"
"51",2014,1528,"USINE DE THURSO","FORTRESS CELLULOSE SPÉCIALISÉE",322112,"QC","NA - 02","Arsenic (and its compounds)","Arsenic (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",29.755,"kg","E2"
"52",2014,1528,"USINE DE THURSO","FORTRESS CELLULOSE SPÉCIALISÉE",322112,"QC","7783-06-04","Hydrogen sulphide","Sulfure d'hydrogène","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.274,"tonnes","E2"
"53",2014,1528,"USINE DE THURSO","FORTRESS CELLULOSE SPÉCIALISÉE",322112,"QC","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",21.146,"kg","E2"
"54",2014,1528,"USINE DE THURSO","FORTRESS CELLULOSE SPÉCIALISÉE",322112,"QC","NA - 14","Zinc (and its compounds)","Zinc (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",2.105,"tonnes","E2"
"55",2014,1528,"USINE DE THURSO","FORTRESS CELLULOSE SPÉCIALISÉE",322112,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",39.511,"tonnes","E2"
"56",2014,1528,"USINE DE THURSO","FORTRESS CELLULOSE SPÉCIALISÉE",322112,"QC","107-21-1","Ethylene glycol","Éthylèneglycol","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",2.36,"tonnes","E2"
"57",2014,1528,"USINE DE THURSO","FORTRESS CELLULOSE SPÉCIALISÉE",322112,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",26.828,"tonnes","E2"
"58",2014,1528,"USINE DE THURSO","FORTRESS CELLULOSE SPÉCIALISÉE",322112,"QC","NA - 19","Hexavalent chromium (and its compounds)","Chrome hexavalent (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",21.682,"kg","E2"
"59",2014,1528,"USINE DE THURSO","FORTRESS CELLULOSE SPÉCIALISÉE",322112,"QC","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",35.364,"tonnes","E2"
"60",2014,1528,"USINE DE THURSO","FORTRESS CELLULOSE SPÉCIALISÉE",322112,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",89.509,"kg","E2"
"61",2014,1561,"KRONOS CANADA, INC.","KRONOS CANADA, INC.",325189,"QC","NA - 02","Arsenic (and its compounds)","Arsenic (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.0226,"kg","M3"
"62",2014,1561,"KRONOS CANADA, INC.","KRONOS CANADA, INC.",325189,"QC","NA - 12","Selenium (and its compounds)","Sélénium (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.023,"kg","M3"
"63",2014,1561,"KRONOS CANADA, INC.","KRONOS CANADA, INC.",325189,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.23,"kg","M3"
"64",2014,1561,"KRONOS CANADA, INC.","KRONOS CANADA, INC.",325189,"QC","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.23,"kg","M3"
"65",2014,1561,"KRONOS CANADA, INC.","KRONOS CANADA, INC.",325189,"QC","NA - 04","Chromium (and its compounds)","Chrome (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",2e-04,"tonnes","M3"
"66",2014,1561,"KRONOS CANADA, INC.","KRONOS CANADA, INC.",325189,"QC","NA - D/F","Dioxins and furans - total","Dioxines et furanes - totales","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.0011,"g_teq_et","M3"
"67",2014,1561,"KRONOS CANADA, INC.","KRONOS CANADA, INC.",325189,"QC","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",14.6,"tonnes","M3"
"68",2014,1608,"LA MINE DOYON","IAMGOLD CORPORATION",212220,"QC","NA - 07","Cyanides (ionic)","Cyanures (ioniques)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.29,"tonnes","M3"
"69",2014,1608,"LA MINE DOYON","IAMGOLD CORPORATION",212220,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",31.27,"tonnes","M3"
"70",2014,1608,"LA MINE DOYON","IAMGOLD CORPORATION",212220,"QC","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",1.391,"tonnes","M3"
"71",2014,1608,"LA MINE DOYON","IAMGOLD CORPORATION",212220,"QC","NA - 06","Copper (and its compounds)","Cuivre (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.222,"tonnes","M3"
"72",2014,1608,"LA MINE DOYON","IAMGOLD CORPORATION",212220,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",20.142,"tonnes","M3"
"73",2014,1608,"LA MINE DOYON","IAMGOLD CORPORATION",212220,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0,"kg","M3"
"74",2014,1611,"MINE MATAGAMI","GLENCORE CANADA CORPORATION",212233,"QC","NA - 04","Chromium (and its compounds)","Chrome (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.016,"tonnes","M3"
"75",2014,1611,"MINE MATAGAMI","GLENCORE CANADA CORPORATION",212233,"QC","NA - 13","Silver (and its compounds)","Argent (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.0034,"tonnes","M3"
"76",2014,1611,"MINE MATAGAMI","GLENCORE CANADA CORPORATION",212233,"QC","NA - 06","Copper (and its compounds)","Cuivre (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.0432,"tonnes","M3"
"77",2014,1611,"MINE MATAGAMI","GLENCORE CANADA CORPORATION",212233,"QC","NA - 12","Selenium (and its compounds)","Sélénium (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",685.2,"kg","M3"
"78",2014,1611,"MINE MATAGAMI","GLENCORE CANADA CORPORATION",212233,"QC","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",6.54,"kg","M3"
"79",2014,1611,"MINE MATAGAMI","GLENCORE CANADA CORPORATION",212233,"QC","NA - 14","Zinc (and its compounds)","Zinc (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.6971,"tonnes","M3"
"80",2014,1611,"MINE MATAGAMI","GLENCORE CANADA CORPORATION",212233,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",28.98,"tonnes","M3"
"81",2014,1611,"MINE MATAGAMI","GLENCORE CANADA CORPORATION",212233,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",11.74,"kg","M3"
"82",2014,1872,"NORAMPAC CABANO UNE DIVISION DE CASCADES CANADA INC","CASCADES CANADA ULC.",322121,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.41,"tonnes","M3"
"83",2014,1875,"PRODUITS KRUGER S.E.C.","PRODUITS KRUGER S.E.C.",322121,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",7.7,"tonnes","M3"
"84",2014,1875,"PRODUITS KRUGER S.E.C.","PRODUITS KRUGER S.E.C.",322121,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",12.3,"tonnes","M3"
"85",2014,1961,"ÉTABLISSEMENT 01","PRATT & WHITNEY CANADA INC.",336410,"QC","NA - 14","Zinc (and its compounds)","Zinc (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.0044,"tonnes","M3"
"86",2014,1979,"PAPETERIE DE DOLBEAU","PRODUITS FORESTIERS RÉSOLU",322121,"QC","67-56-1","Methanol","Méthanol","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.012,"tonnes","E2"
"87",2014,1979,"PAPETERIE DE DOLBEAU","PRODUITS FORESTIERS RÉSOLU",322121,"QC","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",11.76,"kg","M3"
"88",2014,1979,"PAPETERIE DE DOLBEAU","PRODUITS FORESTIERS RÉSOLU",322121,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",83.728,"kg","M3"
"89",2014,1979,"PAPETERIE DE DOLBEAU","PRODUITS FORESTIERS RÉSOLU",322121,"QC","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",10.457,"tonnes","M3"
"90",2014,1979,"PAPETERIE DE DOLBEAU","PRODUITS FORESTIERS RÉSOLU",322121,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",51.999,"tonnes","M3"
"91",2014,1979,"PAPETERIE DE DOLBEAU","PRODUITS FORESTIERS RÉSOLU",322121,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",12.621,"tonnes","M3"
"92",2014,1979,"PAPETERIE DE DOLBEAU","PRODUITS FORESTIERS RÉSOLU",322121,"QC","50-00-0","Formaldehyde","Formaldéhyde","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.619,"tonnes","M3"
"93",2014,2000,"USINE DE BOULETAGE DE PORT-CARTIER","ARCELORMITTAL EXPLOITATION MINIÈRE CANADA",212210,"QC","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",1.29,"kg","M3"
"94",2014,2000,"USINE DE BOULETAGE DE PORT-CARTIER","ARCELORMITTAL EXPLOITATION MINIÈRE CANADA",212210,"QC","NA - 02","Arsenic (and its compounds)","Arsenic (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",2.59,"kg","M3"
"95",2014,2000,"USINE DE BOULETAGE DE PORT-CARTIER","ARCELORMITTAL EXPLOITATION MINIÈRE CANADA",212210,"QC","NA - 22","Phosphorus (total)","Phosphore (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.21,"tonnes","M3"
"96",2014,2000,"USINE DE BOULETAGE DE PORT-CARTIER","ARCELORMITTAL EXPLOITATION MINIÈRE CANADA",212210,"QC","NA - 10","Mercury (and its compounds)","Mercure (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.26,"kg","M3"
"97",2014,2000,"USINE DE BOULETAGE DE PORT-CARTIER","ARCELORMITTAL EXPLOITATION MINIÈRE CANADA",212210,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",2.59,"kg","M3"
"98",2014,2000,"USINE DE BOULETAGE DE PORT-CARTIER","ARCELORMITTAL EXPLOITATION MINIÈRE CANADA",212210,"QC","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.41,"tonnes","M3"
"99",2014,2000,"USINE DE BOULETAGE DE PORT-CARTIER","ARCELORMITTAL EXPLOITATION MINIÈRE CANADA",212210,"QC","NA - 04","Chromium (and its compounds)","Chrome (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",0.08,"tonnes","M3"
"100",2014,2001,"ABIBOW CANADA , USINE DE BAIE-COMEAU","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 16","Ammonia (total)","Ammoniac (total)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",10.989,"tonnes","M3"
"101",2014,2001,"ABIBOW CANADA , USINE DE BAIE-COMEAU","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",3.77,"tonnes","M3"
"102",2014,2001,"ABIBOW CANADA , USINE DE BAIE-COMEAU","PRODUITS FORESTIERS RÉSOLU",322122,"QC","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)","Releases to Water","Rejets dans les plans d'eau","Direct Discharges","Évacuation directes",135.617,"tonnes","M3"
